31 29 7
-500 121.276 0  -354.32 121.276 0  -261.086 121.276 0  -201.415 121.276 0  -163.226 121.276 0  -138.785 121.276 0  -123.143 121.276 0  -113.132 121.276 0  -106.725 121.276 0  -102.624 121.276 0  -100 121.276 0  -75 121.276 0  -50 121.276 0  -31.25 121.276 0  -12.5 121.276 0  6.25 121.276 0  25 121.276 0  43.75 121.276 0  62.5 121.276 0  81.25 121.276 0  100 121.276 0  104.714 121.276 0  111.502 121.276 0  121.276 121.276 0  135.351 121.276 0  155.619 121.276 0  184.806 121.276 0  226.834 121.276 0  287.355 121.276 0  374.504 121.276 0  500 121.276 0  
-500 135.351 0  -354.32 135.351 0  -261.086 135.351 0  -201.415 135.351 0  -163.226 135.351 0  -138.785 135.351 0  -123.143 135.351 0  -113.132 135.351 0  -106.725 135.351 0  -102.624 135.351 0  -100 135.351 0  -75 135.351 0  -50 135.351 0  -31.25 135.351 0  -12.5 135.351 0  6.25 135.351 0  25 135.351 0  43.75 135.351 0  62.5 135.351 0  81.25 135.351 0  100 135.351 0  104.714 135.351 0  111.502 135.351 0  121.276 135.351 0  135.351 135.351 0  155.619 135.351 0  184.806 135.351 0  226.834 135.351 0  287.355 135.351 0  374.504 135.351 0  500 135.351 0  
-500 155.619 0  -354.32 155.619 0  -261.086 155.619 0  -201.415 155.619 0  -163.226 155.619 0  -138.785 155.619 0  -123.143 155.619 0  -113.132 155.619 0  -106.725 155.619 0  -102.624 155.619 0  -100 155.619 0  -75 155.619 0  -50 155.619 0  -31.25 155.619 0  -12.5 155.619 0  6.25 155.619 0  25 155.619 0  43.75 155.619 0  62.5 155.619 0  81.25 155.619 0  100 155.619 0  104.714 155.619 0  111.502 155.619 0  121.276 155.619 0  135.351 155.619 0  155.619 155.619 0  184.806 155.619 0  226.834 155.619 0  287.355 155.619 0  374.504 155.619 0  500 155.619 0  
-500 184.806 0  -354.32 184.806 0  -261.086 184.806 0  -201.415 184.806 0  -163.226 184.806 0  -138.785 184.806 0  -123.143 184.806 0  -113.132 184.806 0  -106.725 184.806 0  -102.624 184.806 0  -100 184.806 0  -75 184.806 0  -50 184.806 0  -31.25 184.806 0  -12.5 184.806 0  6.25 184.806 0  25 184.806 0  43.75 184.806 0  62.5 184.806 0  81.25 184.806 0  100 184.806 0  104.714 184.806 0  111.502 184.806 0  121.276 184.806 0  135.351 184.806 0  155.619 184.806 0  184.806 184.806 0  226.834 184.806 0  287.355 184.806 0  374.504 184.806 0  500 184.806 0  
-500 226.834 0  -354.32 226.834 0  -261.086 226.834 0  -201.415 226.834 0  -163.226 226.834 0  -138.785 226.834 0  -123.143 226.834 0  -113.132 226.834 0  -106.725 226.834 0  -102.624 226.834 0  -100 226.834 0  -75 226.834 0  -50 226.834 0  -31.25 226.834 0  -12.5 226.834 0  6.25 226.834 0  25 226.834 0  43.75 226.834 0  62.5 226.834 0  81.25 226.834 0  100 226.834 0  104.714 226.834 0  111.502 226.834 0  121.276 226.834 0  135.351 226.834 0  155.619 226.834 0  184.806 226.834 0  226.834 226.834 0  287.355 226.834 0  374.504 226.834 0  500 226.834 0  
-500 287.355 0  -354.32 287.355 0  -261.086 287.355 0  -201.415 287.355 0  -163.226 287.355 0  -138.785 287.355 0  -123.143 287.355 0  -113.132 287.355 0  -106.725 287.355 0  -102.624 287.355 0  -100 287.355 0  -75 287.355 0  -50 287.355 0  -31.25 287.355 0  -12.5 287.355 0  6.25 287.355 0  25 287.355 0  43.75 287.355 0  62.5 287.355 0  81.25 287.355 0  100 287.355 0  104.714 287.355 0  111.502 287.355 0  121.276 287.355 0  135.351 287.355 0  155.619 287.355 0  184.806 287.355 0  226.834 287.355 0  287.355 287.355 0  374.504 287.355 0  500 287.355 0  
-500 374.504 0  -354.32 374.504 0  -261.086 374.504 0  -201.415 374.504 0  -163.226 374.504 0  -138.785 374.504 0  -123.143 374.504 0  -113.132 374.504 0  -106.725 374.504 0  -102.624 374.504 0  -100 374.504 0  -75 374.504 0  -50 374.504 0  -31.25 374.504 0  -12.5 374.504 0  6.25 374.504 0  25 374.504 0  43.75 374.504 0  62.5 374.504 0  81.25 374.504 0  100 374.504 0  104.714 374.504 0  111.502 374.504 0  121.276 374.504 0  135.351 374.504 0  155.619 374.504 0  184.806 374.504 0  226.834 374.504 0  287.355 374.504 0  374.504 374.504 0  500 374.504 0  
-500 500 0  -354.32 500 0  -261.086 500 0  -201.415 500 0  -163.226 500 0  -138.785 500 0  -123.143 500 0  -113.132 500 0  -106.725 500 0  -102.624 500 0  -100 500 0  -75 500 0  -50 500 0  -31.25 500 0  -12.5 500 0  6.25 500 0  25 500 0  43.75 500 0  62.5 500 0  81.25 500 0  100 500 0  104.714 500 0  111.502 500 0  121.276 500 0  135.351 500 0  155.619 500 0  184.806 500 0  226.834 500 0  287.355 500 0  374.504 500 0  500 500 0  

-500 -500 0.725  -354.32 -500 0.725  -261.086 -500 0.725  -201.415 -500 0.725  -163.226 -500 0.725  -138.785 -500 0.725  -123.143 -500 0.725  -113.132 -500 0.725  -106.725 -500 0.725  -102.624 -500 0.725  -100 -500 0.725  -75 -500 0.725  -50 -500 0.725  -31.25 -500 0.725  -12.5 -500 0.725  6.25 -500 0.725  25 -500 0.725  43.75 -500 0.725  62.5 -500 0.725  81.25 -500 0.725  100 -500 0.725  104.714 -500 0.725  111.502 -500 0.725  121.276 -500 0.725  135.351 -500 0.725  155.619 -500 0.725  184.806 -500 0.725  226.834 -500 0.725  287.355 -500 0.725  374.504 -500 0.725  500 -500 0.725  
-500 -354.32 0.725  -354.32 -354.32 0.725  -261.086 -354.32 0.725  -201.415 -354.32 0.725  -163.226 -354.32 0.725  -138.785 -354.32 0.725  -123.143 -354.32 0.725  -113.132 -354.32 0.725  -106.725 -354.32 0.725  -102.624 -354.32 0.725  -100 -354.32 0.725  -75 -354.32 0.725  -50 -354.32 0.725  -31.25 -354.32 0.725  -12.5 -354.32 0.725  6.25 -354.32 0.725  25 -354.32 0.725  43.75 -354.32 0.725  62.5 -354.32 0.725  81.25 -354.32 0.725  100 -354.32 0.725  104.714 -354.32 0.725  111.502 -354.32 0.725  121.276 -354.32 0.725  135.351 -354.32 0.725  155.619 -354.32 0.725  184.806 -354.32 0.725  226.834 -354.32 0.725  287.355 -354.32 0.725  374.504 -354.32 0.725  500 -354.32 0.725  
-500 -261.086 0.725  -354.32 -261.086 0.725  -261.086 -261.086 0.725  -201.415 -261.086 0.725  -163.226 -261.086 0.725  -138.785 -261.086 0.725  -123.143 -261.086 0.725  -113.132 -261.086 0.725  -106.725 -261.086 0.725  -102.624 -261.086 0.725  -100 -261.086 0.725  -75 -261.086 0.725  -50 -261.086 0.725  -31.25 -261.086 0.725  -12.5 -261.086 0.725  6.25 -261.086 0.725  25 -261.086 0.725  43.75 -261.086 0.725  62.5 -261.086 0.725  81.25 -261.086 0.725  100 -261.086 0.725  104.714 -261.086 0.725  111.502 -261.086 0.725  121.276 -261.086 0.725  135.351 -261.086 0.725  155.619 -261.086 0.725  184.806 -261.086 0.725  226.834 -261.086 0.725  287.355 -261.086 0.725  374.504 -261.086 0.725  500 -261.086 0.725  
